                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8692,                 5.8999,                 1.1783,                0.00892,                0.45078,                0.01328,                0.00408,                 2.2774,                  5.055,                0.95743,                0.00028,                0.00028,                0.00028
                      2,                 2.4563,                 2.3318,                 1.0181,                0.00754,                0.38083,                0.00695,                0.00212,                 2.1096,                 4.6205,                0.95505,             0.00057713,             0.00057713,             0.00057713
                      3,                 2.5792,                 2.2221,                  1.002,                0.00744,                0.37565,                0.01352,                0.00435,                 2.3046,                 4.4854,                 1.0012,             0.00087129,             0.00087129,             0.00087129
                      4,                 2.3074,                  2.755,                0.95725,                0.00344,                0.17358,                0.00258,                0.00066,                 3.7795,                 6.1831,                 1.2422,              0.0011625,              0.0011625,              0.0011625
                      5,                 2.3739,                 1.8283,                 1.0119,                0.60508,                0.22021,                0.39179,                0.13151,                 2.1493,                 3.1513,                0.99886,              0.0014507,              0.0014507,              0.0014507
                      6,                 2.4129,                 1.6845,                0.99569,                0.69143,                 0.3886,                0.50885,                0.18404,                 2.0164,                  2.699,                0.98447,              0.0017359,              0.0017359,              0.0017359
                      7,                  2.298,                 1.5746,                 1.0047,                0.65547,                0.42388,                0.51169,                0.18575,                  2.104,                 2.7361,                0.98764,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.2025,                 1.9977,                0.95884,                0.59206,                0.56477,                0.57818,                0.20374,                 2.1286,                 2.2815,                 0.9699,              0.0019406,              0.0019406,              0.0019406
                      9,                 2.1624,                 1.8888,                 0.9453,                0.70208,                0.56995,                0.63403,                0.24431,                 1.9902,                  1.827,                0.96475,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.2955,                 1.3847,                 1.0117,                0.68544,                0.53065,                0.59815,                0.21759,                 2.0569,                 1.8301,                0.96861,              0.0019208,              0.0019208,              0.0019208
                     11,                 2.3741,                 1.3948,                 0.9923,                0.53922,                 0.5285,                0.49384,                0.17573,                 2.0434,                 2.1814,                0.96528,              0.0019109,              0.0019109,              0.0019109
                     12,                 2.2736,                 1.3716,                 0.9732,                0.71143,                0.60676,                0.64647,                 0.2413,                 1.9778,                 1.5857,                0.95774,               0.001901,               0.001901,               0.001901
                     13,                 2.1557,                 1.6024,                0.92382,                0.66571,                0.57513,                0.60615,                0.22501,                 2.0304,                 1.6181,                0.97787,              0.0018911,              0.0018911,              0.0018911
                     14,                  2.149,                 1.2244,                0.96262,                0.63482,                0.68135,                0.67797,                0.24458,                 2.0575,                 1.5525,                0.95007,              0.0018812,              0.0018812,              0.0018812
                     15,                   2.24,                 1.2405,                0.99404,                0.66416,                0.67876,                0.69533,                0.26727,                 1.8271,                 1.4701,                0.93178,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.2407,                 1.2275,                 1.0068,                 0.7331,                0.64767,                0.67194,                0.24409,                 1.9157,                 1.3441,                0.97318,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.3186,                 1.2023,                0.99186,                0.70578,                 0.6658,                 0.7009,                0.23647,                 1.9218,                 1.2311,                0.94975,              0.0018515,              0.0018515,              0.0018515
                     18,                 2.2474,                 1.1613,                0.98193,                0.74912,                0.57254,                0.66665,                0.25154,                  2.088,                 1.3449,                0.96448,              0.0018416,              0.0018416,              0.0018416
                     19,                 2.2005,                 1.2043,                 0.9697,                0.80233,                0.63472,                0.70378,                0.26627,                 1.8436,                 1.1494,                0.94422,              0.0018317,              0.0018317,              0.0018317
                     20,                  2.294,                  1.356,                0.95151,                 0.6818,                0.57174,                0.61751,                 0.2222,                 2.1092,                 1.6015,                0.97424,              0.0018218,              0.0018218,              0.0018218
                     21,                 2.3363,                 1.2122,                 0.9878,                0.74956,                0.66685,                 0.7096,                0.25985,                 1.9682,                 1.3432,                0.93961,              0.0018119,              0.0018119,              0.0018119
                     22,                 2.1785,                 1.1117,                0.96252,                0.75968,                0.60363,                0.68875,                0.25774,                 1.7617,                 1.5154,                0.92886,               0.001802,               0.001802,               0.001802
                     23,                 2.1652,                 1.1493,                0.96087,                0.71788,                0.63945,                0.66907,                0.25255,                 1.9099,                 1.4642,                0.94411,              0.0017921,              0.0017921,              0.0017921
                     24,                 2.2948,                 1.1614,                0.98692,                0.75427,                0.63731,                0.67633,                0.24744,                 1.8441,                 1.0735,                0.94253,              0.0017822,              0.0017822,              0.0017822
                     25,                 2.1741,                 1.0543,                0.96293,                0.72607,                0.68653,                0.73201,                0.28751,                 1.8873,                 1.1651,                 0.9434,              0.0017723,              0.0017723,              0.0017723
