                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2324,                 3.9419,                 1.0898,                0.00789,                0.52273,                0.00835,                0.00227,                 3.0449,                 4.6989,                 1.0229,                0.00028,                0.00028,                0.00028
                      2,                  3.128,                 2.7077,                0.99334,                0.00965,                0.58636,                0.00861,                 0.0028,                 2.8451,                 5.0749,                0.98248,             0.00057426,             0.00057426,             0.00057426
                      3,                 3.1031,                 2.1366,                0.93097,                0.00985,                0.53182,                0.01346,                0.00448,                 2.4487,                 4.4597,                0.98077,             0.00086258,             0.00086258,             0.00086258
                      4,                 2.8458,                 2.0386,                0.94463,                0.01181,                0.63182,                0.13566,                0.04291,                 2.4926,                  3.818,                  0.987,               0.001145,               0.001145,               0.001145
                      5,                 2.7494,                 1.9922,                0.91642,                0.67764,                0.08601,                0.28148,                0.07578,                  2.747,                 3.1643,                  1.036,              0.0014214,              0.0014214,              0.0014214
                      6,                 2.7235,                 1.7132,                0.93335,                0.56817,                0.36482,                0.35513,                0.10885,                  2.554,                 2.4334,                0.98152,              0.0016919,              0.0016919,              0.0016919
                      7,                 2.6535,                 1.7048,                0.94883,                0.50003,                0.25455,                0.30183,                0.09151,                  2.693,                  2.667,                0.97588,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.7348,                 1.7178,                0.95136,                0.46099,                0.46364,                0.39575,                0.12661,                 2.4737,                 2.1129,                0.92923,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.5471,                 1.6282,                0.93329,                0.56158,                0.45998,                0.40109,                0.12503,                 2.4582,                 2.1991,                0.97266,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.6503,                 1.5579,                0.93276,                0.61966,                0.50909,                0.49113,                0.15971,                 2.4551,                 1.8647,                0.95875,              0.0018416,              0.0018416,              0.0018416
                     11,                  2.719,                 1.5248,                0.90592,                0.49419,                0.47964,                 0.4044,                0.13402,                 2.2941,                 1.8041,                0.94239,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.6485,                 1.4959,                0.90863,                0.55004,                0.49091,                0.43343,                  0.147,                 2.1696,                 1.9427,                0.91537,               0.001802,               0.001802,               0.001802
                     13,                 2.4305,                 1.4832,                0.84937,                0.51235,                0.48636,                0.38967,                0.13371,                 2.4444,                 1.7277,                 0.9365,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.5478,                 1.3149,                0.91146,                0.63011,                0.55455,                0.52282,                 0.1764,                 2.3775,                 2.2111,                0.94047,              0.0017624,              0.0017624,              0.0017624
                     15,                  2.463,                 1.2807,                0.91278,                0.56742,                0.53661,                0.47912,                0.16384,                 2.4925,                 1.4611,                0.93358,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.4477,                 1.2506,                0.90238,                0.54144,                0.44545,                0.41805,                0.13141,                 2.6019,                 1.4135,                0.93433,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.6475,                 1.3024,                 0.8952,                0.62339,                0.59439,                 0.5682,                0.18903,                 2.2517,                 1.4704,                0.92287,               0.001703,               0.001703,               0.001703
                     18,                 2.5238,                  1.262,                 0.8978,                0.57861,                0.49545,                0.45047,                0.12773,                 2.5076,                 1.5471,                0.93793,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.4974,                 1.4534,                0.90429,                0.57133,                0.55909,                0.49637,                0.16215,                 2.3294,                  1.488,                0.92998,              0.0016634,              0.0016634,              0.0016634
