                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1231,                 4.2078,                 1.2365,                0.00568,                0.28338,                0.00743,                0.00323,                 1.6152,                 4.1632,                0.97673,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.8538,                 2.1063,                0.97785,                0.01099,                0.41001,                0.05183,                0.03213,                 1.7363,                 3.7867,                0.99015,             0.00041031,             0.00041031,             0.00041031
                      3,                 1.8076,                 1.5431,                 1.0021,                0.01433,                0.57389,                0.19874,                0.10892,                 1.4911,                 3.3507,                0.98213,             0.00061631,             0.00061631,             0.00061631
                      4,                 1.7209,                 1.5918,                 1.0097,                0.00948,                0.60922,                0.19001,                0.09555,                  1.526,                  3.312,                 1.0047,             0.00081807,             0.00081807,             0.00081807
                      5,                 1.6438,                 1.4295,                 1.0059,                0.00878,                0.62734,                0.24015,                0.11602,                  1.523,                  3.065,                0.99235,              0.0010156,              0.0010156,              0.0010156
                      6,                 1.5952,                 1.2489,                0.97954,                      1,                  0.058,                0.38013,                0.18909,                 1.5807,                 2.6947,                0.99806,              0.0012089,              0.0012089,              0.0012089
                      7,                 1.5669,                 1.2661,                0.97948,                0.49338,                0.29633,                0.37155,                0.19684,                 1.5542,                 2.1865,                0.99539,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.4819,                 1.4391,                0.92648,                0.75516,                0.53956,                0.64024,                0.32659,                 1.5089,                 1.5609,                0.99444,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.5337,                 1.1661,                0.98848,                0.82429,                0.56396,                0.67561,                0.33898,                 1.3798,                 1.3197,                0.97483,                0.00133,                0.00133,                0.00133
                     10,                 1.6184,                 1.1084,                0.97927,                0.57783,                0.67409,                0.66867,                0.29964,                 1.5676,                 1.3537,                 1.0004,              0.0013158,              0.0013158,              0.0013158
