                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0692,                 4.0365,                 1.0222,                0.00394,                0.96296,                 0.2074,                0.11381,                 1.3687,                 3.7789,                0.87935,             0.00023338,             0.00023338,             0.00023338
                      2,                  1.948,                 2.5829,                0.96375,                0.00379,                0.95679,                 0.0237,                0.01176,                 1.4753,                 3.6224,                0.89775,             0.00047864,             0.00047864,             0.00047864
                      3,                 1.9544,                 1.9485,                 0.9356,                0.00425,                0.99383,                0.01721,                0.00793,                 1.5107,                 3.4736,                0.89191,             0.00071896,             0.00071896,             0.00071896
                      4,                 1.8828,                 2.1442,                0.96818,                0.49501,                0.47935,                0.61516,                0.31696,                 1.5508,                 2.9951,                 0.9234,             0.00095432,             0.00095432,             0.00095432
                      5,                 1.8091,                 1.8893,                0.96409,                 0.9814,                0.15976,                 0.6674,                0.32468,                 1.8659,                 2.2658,                 1.0093,              0.0011847,              0.0011847,              0.0011847
                      6,                  1.769,                 1.5887,                0.95951,                0.76256,                0.52089,                0.76156,                0.42904,                 1.5125,                 1.9713,                0.95584,              0.0014102,              0.0014102,              0.0014102
                      7,                 1.7239,                  1.657,                0.94769,                0.86689,                0.55247,                0.71477,                0.40252,                 1.4726,                 2.0332,                0.93614,               0.001568,               0.001568,               0.001568
                      8,                 1.6757,                 1.6979,                0.90132,                0.67358,                0.65706,                0.75025,                0.40556,                 1.6778,                  1.644,                0.96519,               0.001568,               0.001568,               0.001568
                      9,                 1.6433,                 1.6461,                0.87158,                0.61089,                 0.8997,                0.73635,                0.40861,                  1.541,                 1.4905,                0.96051,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.7332,                 1.4673,                0.95881,                0.65878,                0.67052,                0.75484,                 0.3293,                  1.652,                 1.5293,                0.98331,               0.001535,               0.001535,               0.001535
                     11,                 1.8035,                 1.2955,                 0.9388,                0.71212,                0.80508,                0.80948,                0.40334,                 1.5844,                 1.1894,                  0.974,              0.0015185,              0.0015185,              0.0015185
                     12,                  1.774,                 1.2922,                0.93193,                0.77995,                0.83796,                 0.8555,                0.44022,                 1.5932,                 1.0259,                0.95847,               0.001502,               0.001502,               0.001502
                     13,                 1.7977,                 1.3643,                0.97025,                 0.8347,                0.83709,                0.86734,                0.51073,                 1.3802,                 0.9405,                0.94453,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.6532,                 1.1642,                0.93903,                0.87724,                0.82316,                0.86682,                0.48178,                 1.3976,                 1.0335,                0.94727,               0.001469,               0.001469,               0.001469
                     15,                 1.6073,                 1.1364,                0.91684,                0.89486,                0.84686,                0.83319,                0.48689,                  1.448,                0.94819,                0.93141,              0.0014525,              0.0014525,              0.0014525
                     16,                  1.567,                 1.0689,                0.94085,                0.83606,                0.75077,                 0.8217,                0.47013,                 1.4811,                0.96653,                0.94449,               0.001436,               0.001436,               0.001436
                     17,                 1.6128,                 1.0946,                0.92627,                0.81707,                0.82405,                0.83224,                0.48405,                 1.4566,                0.92715,                0.93781,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.5776,                 1.0716,                0.93444,                0.86345,                0.79593,                0.88393,                0.49233,                 1.3416,                 1.1559,                  0.919,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.4738,                 1.0887,                0.85373,                 0.8833,                0.84283,                0.87944,                0.52817,                 1.4054,                 1.0439,                0.92036,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.6811,                  1.059,                0.91578,                0.81062,                0.78781,                0.82311,                 0.4966,                  1.496,                0.90648,                0.93928,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.5788,                0.98911,                0.94756,                0.85738,                 0.8206,                0.84824,                0.50046,                 1.3087,                0.80725,                0.92532,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.6176,                 1.0286,                0.93312,                0.90081,                0.79398,                0.84589,                0.48762,                 1.4635,                0.83982,                 0.9305,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.7158,                 1.0768,                0.91643,                0.85726,                0.84414,                0.82495,                0.45951,                 1.3266,                0.87111,                0.93922,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.4656,                0.95015,                0.91635,                0.84792,                 0.8795,                0.88434,                0.46556,                 1.3526,                0.90502,                0.93307,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.5055,                0.94169,                0.91696,                0.87331,                0.85383,                0.89436,                0.50047,                 1.3867,                0.86114,                0.91975,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.5485,                 1.0826,                0.95228,                0.84635,                0.76756,                0.83915,                 0.5194,                  1.366,                 0.8947,                0.92498,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.5675,                0.96099,                0.89773,                 0.8517,                0.79398,                0.86811,                0.53739,                 1.1997,                0.84887,                0.90265,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.4817,                0.93652,                 0.9146,                0.82538,                0.87835,                0.88735,                0.51042,                 1.2462,                0.75285,                0.91594,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.4762,                0.88823,                0.90161,                 0.9022,                0.84789,                0.90412,                0.50881,                 1.2316,                0.72227,                 0.9033,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.5033,                0.83988,                    0.9,                0.91003,                0.86883,                0.88982,                0.50546,                 1.2413,                0.73428,                0.90107,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.4599,                0.84164,                0.88342,                 0.8443,                0.83796,                0.84803,                0.49923,                 1.4119,                0.77691,                0.91477,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.5045,                0.93281,                 0.8937,                0.82149,                0.74383,                0.85221,                0.49795,                 1.3682,                0.83206,                 0.9145,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.4686,                0.85398,                0.90004,                 0.8863,                0.76929,                0.82958,                0.45015,                 1.3989,                  0.804,                0.91298,              0.0011554,              0.0011554,              0.0011554
                     34,                  1.434,                0.88907,                0.88607,                 0.8539,                0.99383,                0.93175,                0.57089,                 1.2035,                0.69654,                0.89001,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.4743,                0.81801,                0.89579,                0.89374,                0.98148,                0.94866,                0.53461,                 1.2614,                0.70255,                0.90692,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.4432,                0.80453,                0.89898,                0.77473,                0.90838,                0.90728,                 0.5473,                 1.3247,                0.73078,                0.91845,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.3814,                0.78495,                 0.8998,                0.93566,                0.97605,                0.95627,                0.55105,                 1.3772,                0.70547,                0.92607,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.4018,                0.77068,                0.89409,                0.87175,                0.91496,                0.90143,                0.52163,                 1.2723,                0.67214,                0.90931,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.4276,                 0.7888,                0.88024,                0.87572,                0.89527,                0.88943,                0.52066,                 1.3736,                0.71993,                0.90295,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.4487,                0.80929,                0.92399,                0.93012,                0.88975,                0.90384,                0.56978,                 1.2711,                0.72163,                0.89678,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.3737,                0.75811,                0.88683,                 0.8793,                0.81176,                0.85784,                0.53132,                 1.4066,                0.75975,                0.91508,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.3468,                0.71273,                0.87423,                0.78072,                0.90478,                0.86425,                0.54762,                  1.355,                0.76642,                0.90476,              0.0010069,              0.0010069,              0.0010069
                     43,                  1.357,                0.74917,                0.87135,                0.86961,                0.91281,                0.88363,                0.51654,                  1.316,                  0.824,                0.90208,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.3348,                0.77877,                0.92517,                0.93359,                0.90308,                 0.9121,                0.53347,                 1.4169,                0.79058,                0.90705,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2949,                0.69586,                0.88688,                0.91445,                0.86001,                0.89911,                0.51887,                 1.3792,                0.79643,                0.90588,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.3235,                0.71777,                0.89218,                0.85054,                0.84984,                0.93298,                0.61859,                 1.2496,                0.67251,                0.88001,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.3287,                0.70401,                0.87683,                0.84607,                0.84187,                0.89988,                 0.5356,                  1.197,                0.71209,                0.88931,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.3935,                0.74694,                0.88471,                0.87047,                0.92028,                0.92696,                  0.597,                 1.1614,                0.68332,                 0.8779,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.3956,                0.70839,                0.85701,                 0.8878,                0.92173,                0.93463,                0.57163,                 1.3183,                0.69812,                 0.8907,             0.00089134,             0.00089134,             0.00089134
