                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0416,                 4.5954,                 1.2675,                0.00841,                0.42487,                0.01092,                0.00338,                 2.4622,                 5.4169,                 1.0132,                0.00028,                0.00028,                0.00028
                      2,                 2.6138,                 2.6707,                 1.0679,                0.00667,                0.33679,                0.00617,                0.00172,                 2.4194,                 5.0952,                 1.0282,             0.00056852,             0.00056852,             0.00056852
                      3,                 2.4033,                 2.1217,                 1.0039,                0.01185,                0.59845,                0.07617,                0.02933,                 2.2373,                  4.458,                 1.0067,             0.00084515,             0.00084515,             0.00084515
                      4,                 2.2001,                 2.6275,                0.93525,                0.01272,                0.64249,                0.24903,                0.08966,                 2.0796,                 3.8198,                0.97049,              0.0011099,              0.0011099,              0.0011099
                      5,                 2.3223,                 1.7274,                0.99933,                0.54293,                0.45852,                0.40302,                0.13796,                 2.3034,                  3.251,                 1.0305,              0.0013628,              0.0013628,              0.0013628
                      6,                 2.3404,                 1.9314,                0.99179,                0.73721,                0.18896,                0.42048,                0.13221,                 2.1794,                 3.1283,                 1.0167,              0.0016038,              0.0016038,              0.0016038
                      7,                 2.1937,                 1.4916,                0.98468,                0.64063,                0.47409,                0.53423,                0.20217,                 2.3425,                 2.4057,                 1.0325,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1067,                 2.0172,                0.90774,                 0.6655,                0.53627,                0.57501,                0.20485,                 2.1657,                 2.0489,                 0.9743,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2782,                 1.4308,                 1.0018,                0.72346,                0.52187,                0.57476,                0.19133,                 2.3115,                 2.1404,                 1.0664,              0.0016832,              0.0016832,              0.0016832
                     10,                  2.191,                 1.3395,                 1.0038,                0.68263,                0.54145,                0.57872,                0.21684,                 2.4543,                 1.9191,                 1.0442,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.2055,                 1.3382,                0.97809,                0.67707,                0.58549,                0.62139,                0.22409,                 2.0673,                 1.8197,                0.95392,               0.001604,               0.001604,               0.001604
                     12,                 2.2895,                 1.3094,                0.99626,                0.64893,                0.66563,                0.68563,                0.25631,                 2.1885,                 1.6556,                0.95962,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.2477,                 1.2612,                0.97191,                0.65303,                0.62411,                0.65637,                0.24386,                 1.8893,                 1.5478,                 0.9433,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.2371,                 1.2878,                0.99168,                 0.6753,                0.59268,                0.64883,                0.24903,                 1.9961,                 1.4475,                0.95764,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.2814,                 1.3162,                0.99183,                0.77155,                0.69171,                0.72952,                  0.281,                 1.9082,                 1.1785,                0.93861,              0.0014456,              0.0014456,              0.0014456
                     16,                  2.238,                  1.183,                 0.9793,                0.71167,                0.68394,                0.70914,                0.24949,                  1.975,                 1.1601,                0.94992,               0.001406,               0.001406,               0.001406
                     17,                 2.2768,                 1.1973,                0.95169,                0.75175,                0.68912,                0.72699,                0.27509,                 1.8625,                 1.2136,                0.94127,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.1229,                 1.1889,                0.95963,                0.74808,                0.63082,                0.71901,                0.29251,                 1.8756,                 1.1082,                0.92473,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.0823,                 1.1692,                0.96512,                 0.7351,                0.68653,                 0.7153,                0.28256,                 1.8148,                 1.1678,                0.92716,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.0482,                 1.1501,                0.96319,                0.67924,                0.68394,                0.71245,                 0.2425,                 1.9689,                 1.3236,                 0.9318,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.0579,                 1.0893,                0.95571,                0.75995,                0.69689,                0.75281,                0.27499,                 1.8988,                 1.1527,                0.93067,               0.001208,               0.001208,               0.001208
                     22,                 2.2043,                 1.1558,                0.96004,                0.75355,                0.66839,                0.70652,                0.26454,                 1.7637,                 1.0039,                0.93374,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.1373,                 1.0828,                0.97928,                0.75398,                0.62953,                0.67199,                0.25023,                 1.8999,                 1.0043,                0.94322,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.0465,                 1.0832,                0.95737,                0.72578,                0.63472,                0.69547,                0.28035,                 1.8078,                0.92606,                  0.931,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.9302,                 1.1676,                0.88644,                0.67864,                0.65103,                0.68179,                0.26678,                  1.817,                0.93554,                0.92939,              0.0010496,              0.0010496,              0.0010496
                     26,                  1.952,                  1.235,                0.89338,                0.69216,                0.67571,                0.71057,                0.27738,                 1.7769,                0.99944,                0.92384,                0.00101,                0.00101,                0.00101
                     27,                 2.1379,                 1.0618,                0.96103,                 0.7281,                0.67293,                0.69803,                0.27008,                  1.711,                0.99059,                0.92209,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.1408,                 1.0586,                 0.9521,                0.78792,                0.61399,                0.70071,                0.26732,                 1.7914,                 1.0059,                0.91608,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.0279,                 1.0386,                0.95338,                0.70765,                0.70466,                0.72902,                0.27917,                 1.8313,                0.95693,                0.93047,              0.0008912,              0.0008912,              0.0008912
                     30,                  2.073,                 1.0434,                0.95162,                0.69424,                0.67645,                0.71773,                0.28577,                 1.8642,                0.96016,                0.92546,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.0535,                 1.0468,                0.91727,                0.77155,                0.69689,                0.75097,                0.29665,                 1.7986,                0.93349,                0.92345,               0.000812,               0.000812,               0.000812
                     32,                 2.1595,                 1.0543,                 0.9712,                0.77123,                0.67617,                0.72231,                0.29531,                 1.8248,                0.90074,                0.93365,              0.0007724,              0.0007724,              0.0007724
                     33,                 2.1046,                 1.0833,                0.94997,                0.81229,                0.63901,                0.72969,                0.29417,                 1.7509,                0.84944,                0.92425,              0.0007328,              0.0007328,              0.0007328
                     34,                 2.1293,                 1.0877,                0.94719,                0.81397,                 0.6399,                0.71757,                0.29551,                 1.7852,                0.83888,                 0.9237,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.0509,                 0.9846,                0.95832,                0.76244,                0.64854,                0.71394,                0.30267,                 1.7448,                0.85812,                0.91798,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.0286,                0.99465,                0.94189,                0.76714,                0.64508,                0.73775,                 0.3127,                 1.8199,                0.89445,                  0.924,               0.000614,               0.000614,               0.000614
                     37,                 2.0001,                0.97251,                0.94865,                0.80015,                0.66062,                0.76287,                0.31998,                 1.9446,                0.90932,                0.93661,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.0319,                0.98049,                 0.9428,                0.75664,                 0.6766,                0.74777,                0.29779,                 1.7575,                0.85309,                0.91281,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.9633,                0.93319,                0.94124,                0.78972,                0.72021,                0.78244,                0.32172,                 1.7671,                0.88424,                   0.91,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.0692,                 1.0076,                0.94677,                0.78675,                0.73316,                0.78593,                0.31923,                 1.7154,                0.82814,                0.91318,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.9083,                0.98394,                0.95927,                0.77004,                0.70466,                0.76942,                0.31382,                 1.8862,                0.89348,                0.92885,               0.000416,               0.000416,               0.000416
                     42,                 1.9682,                 1.0243,                0.95385,                0.75827,                0.69948,                0.76041,                0.31916,                 1.8321,                0.86407,                0.92446,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.9144,                 0.9653,                0.94983,                0.75319,                0.71154,                0.75712,                0.31737,                 1.7444,                0.82065,                0.91002,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7966,                0.98596,                0.87719,                0.79248,                0.70244,                0.76199,                0.30589,                 1.7283,                0.83952,                0.91007,              0.0002972,              0.0002972,              0.0002972
