                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.508,                 4.4538,                 1.0321,                0.00174,                 0.1087,                0.00123,                0.00051,                 2.3408,                 4.2317,                 0.9447,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.5978,                 4.4688,                 1.0459,                0.00171,                0.10435,                 0.0012,                0.00051,                 2.3397,                 4.2334,                0.94601,              4.968e-05,              4.968e-05,              4.968e-05
                      3,                 2.5323,                 4.4647,                 1.0446,                0.00162,                0.09565,                0.00114,                 0.0005,                 2.3381,                 4.2314,                0.94917,              8.225e-05,              8.225e-05,              8.225e-05
                      4,                 2.5677,                 4.4812,                 1.0364,                0.00305,                0.17391,                0.00306,                0.00129,                 2.3651,                 4.1488,                0.88008,             0.00011438,             0.00011438,             0.00011438
                      5,                 2.3239,                 4.0474,                0.90276,                0.00479,                0.25217,                0.01787,                0.00665,                 2.4507,                 4.0857,                0.84812,             0.00014607,             0.00014607,             0.00014607
                      6,                 2.3968,                 3.4766,                0.83122,                0.00555,                0.27174,                0.03948,                0.01117,                 2.2946,                 3.9389,                 0.8066,             0.00017732,             0.00017732,             0.00017732
                      7,                 2.3459,                 2.8678,                0.81119,                0.00563,                0.27609,                0.04164,                0.01185,                 2.1185,                 3.8203,                0.78447,             0.00020813,             0.00020813,             0.00020813
                      8,                 2.1901,                 2.5157,                0.76454,                0.00559,                0.26957,                 0.0906,                0.02881,                 2.1138,                 3.7483,                 0.7989,              0.0002385,              0.0002385,              0.0002385
                      9,                 2.1459,                  2.154,                0.79209,                0.00603,                   0.25,                0.07657,                0.02572,                 1.9818,                 3.7793,                0.81402,             0.00026843,             0.00026843,             0.00026843
                     10,                  2.054,                 2.0683,                0.80084,                0.00598,                0.23261,                0.06861,                0.02789,                 1.9391,                 3.7631,                0.79331,             0.00029792,             0.00029792,             0.00029792
                     11,                 2.0104,                 1.9564,                0.80889,                0.00696,                0.26747,                0.06363,                0.01779,                 1.9467,                 3.7601,                0.78713,             0.00032697,             0.00032697,             0.00032697
                     12,                 1.9048,                 1.8581,                0.76606,                 0.0072,                0.26747,                0.04805,                0.01417,                 1.9394,                 3.7554,                0.79429,             0.00035559,             0.00035559,             0.00035559
                     13,                   1.89,                 1.7894,                0.77091,                0.00673,                0.23043,                0.03577,                0.01114,                 1.8891,                 3.7908,                0.79435,             0.00038376,             0.00038376,             0.00038376
                     14,                 1.8912,                 1.7498,                0.77267,                0.00657,                0.21739,                0.03063,                0.00967,                 1.8949,                 3.8086,                0.79876,             0.00041149,             0.00041149,             0.00041149
                     15,                 1.8372,                 1.7176,                0.76111,                0.00776,                0.24783,                0.04528,                0.01356,                 1.8804,                 3.7526,                0.79406,             0.00043878,             0.00043878,             0.00043878
                     16,                 1.9001,                  1.651,                0.76985,                0.00847,                0.26522,                0.04954,                0.01671,                 1.8356,                 3.6866,                0.76698,             0.00046563,             0.00046563,             0.00046563
                     17,                 1.9085,                 1.6357,                0.75091,                0.00849,                0.28261,                0.05185,                0.01568,                 1.8135,                 3.6507,                0.76412,             0.00049204,             0.00049204,             0.00049204
                     18,                  1.822,                  1.544,                0.76194,                0.00812,                0.27174,                0.03727,                0.01038,                 1.8227,                 3.6191,                0.77474,             0.00051801,             0.00051801,             0.00051801
                     19,                 1.8164,                 1.5123,                0.76104,                0.00752,                0.24348,                0.02577,                0.00745,                 1.8795,                 3.6798,                0.78167,             0.00054354,             0.00054354,             0.00054354
                     20,                 1.7326,                 1.4541,                 0.7392,                0.00726,                0.22609,                0.02988,                0.01153,                 1.8193,                 3.7381,                 0.7855,             0.00056864,             0.00056864,             0.00056864
                     21,                 1.7367,                 1.4321,                0.72837,                0.00664,                 0.2087,                0.03358,                0.01243,                 1.9054,                 3.7729,                0.80692,             0.00059329,             0.00059329,             0.00059329
                     22,                 1.7447,                 1.3761,                0.72872,                0.00717,                0.23043,                 0.0289,                0.01315,                 1.9233,                 3.6926,                0.79558,              0.0006175,              0.0006175,              0.0006175
                     23,                 1.6739,                  1.371,                0.71505,                0.00812,                0.26537,                 0.0419,                0.02339,                 1.8711,                 3.6228,                0.77923,             0.00064127,             0.00064127,             0.00064127
                     24,                 1.6636,                 1.3551,                0.71969,                0.00862,                0.29836,                0.05096,                0.02568,                 1.8846,                  3.643,                0.78668,              0.0006646,              0.0006646,              0.0006646
                     25,                 1.7083,                 1.3473,                0.72094,                0.01006,                0.30023,                0.07664,                0.04212,                 1.8573,                 3.5081,                0.78362,              0.0006875,              0.0006875,              0.0006875
                     26,                 1.6908,                 1.3451,                0.72299,                0.01093,                0.32197,                0.06934,                 0.0431,                 1.8277,                 3.4702,                0.78375,             0.00070995,             0.00070995,             0.00070995
                     27,                 1.6713,                 1.3188,                0.71685,                0.00986,                0.37723,                0.06421,                0.03862,                 1.8555,                 3.5815,                0.80068,             0.00073196,             0.00073196,             0.00073196
                     28,                 1.6954,                 1.2935,                0.71487,                0.01144,                0.50625,                 0.0869,                0.04938,                 1.9075,                 3.4917,                0.78547,             0.00075353,             0.00075353,             0.00075353
                     29,                 1.6886,                 1.3297,                  0.712,                0.01233,                0.60694,                0.13683,                0.07312,                 1.8769,                  3.414,                0.76989,             0.00077466,             0.00077466,             0.00077466
                     30,                 1.6142,                 1.2691,                0.70598,                0.01158,                0.64008,                0.10657,                0.05316,                 1.9142,                 3.5298,                0.77385,             0.00079536,             0.00079536,             0.00079536
                     31,                 1.5966,                 1.2408,                 0.7016,                0.01257,                0.69683,                0.12792,                0.06258,                 1.8953,                 3.4515,                0.77346,             0.00081561,             0.00081561,             0.00081561
                     32,                  1.602,                 1.2072,                 0.7085,                0.01191,                0.67929,                0.15358,                0.06826,                 1.9666,                 3.3983,                0.77951,             0.00083542,             0.00083542,             0.00083542
                     33,                 1.6266,                 1.2521,                0.70354,                0.01051,                0.64443,                0.19671,                0.09319,                 1.9202,                 3.4549,                 0.7706,             0.00085479,             0.00085479,             0.00085479
                     34,                 1.6142,                 1.2331,                0.71324,                0.01049,                0.61819,                0.14109,                0.06387,                 1.9174,                 3.4699,                0.77571,             0.00087373,             0.00087373,             0.00087373
                     35,                 1.6311,                 1.2203,                0.70518,                0.01095,                0.64645,                0.23895,                0.09783,                 1.8287,                 3.3561,                 0.7616,             0.00089222,             0.00089222,             0.00089222
                     36,                 1.6764,                 1.2481,                0.72695,                0.01088,                 0.6574,                0.29883,                0.12616,                  1.778,                 3.2612,                0.76017,             0.00091027,             0.00091027,             0.00091027
                     37,                 1.6447,                 1.2454,                0.72853,                 0.0093,                0.54367,                0.25346,                0.12569,                  1.872,                 3.3427,                0.78971,             0.00092789,             0.00092789,             0.00092789
                     38,                 1.6376,                 1.1959,                0.70622,                0.00885,                0.50641,                0.25438,                0.12557,                 1.8384,                 3.3677,                0.79675,             0.00094506,             0.00094506,             0.00094506
                     39,                 1.6382,                 1.1658,                0.70096,                0.01768,                 0.3249,                0.13918,                0.07669,                  1.857,                 3.3572,                 0.8107,             0.00096179,             0.00096179,             0.00096179
                     40,                 1.4876,                 1.1294,                0.68396,                0.95182,                0.07826,                0.15342,                0.08376,                 1.8842,                 3.0806,                0.81747,             0.00097809,             0.00097809,             0.00097809
                     41,                 1.5765,                 1.1852,                0.68624,                0.91943,                0.06792,                0.19879,                0.10613,                 1.8252,                  2.833,                0.78693,             0.00099394,             0.00099394,             0.00099394
                     42,                 1.5728,                 1.1571,                0.69219,                  0.933,                0.12645,                 0.2022,                0.11513,                 1.7825,                  2.449,                0.77644,              0.0010094,              0.0010094,              0.0010094
                     43,                 1.6041,                 1.1543,                  0.701,                0.89839,                0.15217,                0.23906,                0.12798,                 1.8216,                 2.2929,                0.77062,              0.0010243,              0.0010243,              0.0010243
                     44,                 1.5484,                 1.1623,                0.68959,                0.90871,                0.16545,                0.36765,                 0.1795,                 1.8192,                 2.2788,                0.76346,              0.0010389,              0.0010389,              0.0010389
                     45,                 1.5501,                 1.1636,                0.68787,                 0.9504,                0.13913,                 0.3171,                0.15446,                  1.882,                 2.5677,                0.76512,               0.001053,               0.001053,               0.001053
                     46,                 1.5442,                 1.1198,                0.68297,                0.91103,                    0.1,                0.29456,                  0.144,                 1.8955,                 2.6452,                0.76915,              0.0010666,              0.0010666,              0.0010666
                     47,                 1.5438,                 1.1071,                0.69127,                0.91278,                0.13375,                0.39042,                0.16506,                 1.9103,                 2.3597,                0.77244,              0.0010798,              0.0010798,              0.0010798
                     48,                 1.5567,                 1.1146,                0.69197,                0.87854,                0.12826,                 0.4821,                0.21703,                 1.9411,                 2.3842,                0.78773,              0.0010926,              0.0010926,              0.0010926
                     49,                 1.5557,                 1.0917,                0.68713,                0.91002,                0.09907,                0.45647,                0.18992,                 1.9028,                 2.6537,                0.79892,              0.0011049,              0.0011049,              0.0011049
                     50,                 1.5223,                 1.0484,                0.68612,                 0.9096,                0.11957,                0.32381,                0.14267,                 1.8717,                 2.4932,                0.79921,              0.0011168,              0.0011168,              0.0011168
                     51,                 1.5578,                  1.119,                0.68914,                0.86393,                0.10217,                0.19891,                0.09239,                 1.9308,                 2.6513,                0.82647,              0.0011171,              0.0011171,              0.0011171
                     52,                 1.5749,                 1.1212,                0.69274,                0.80441,                0.10435,                 0.1477,                 0.0812,                 2.0391,                  2.528,                0.88604,              0.0011061,              0.0011061,              0.0011061
                     53,                 1.5482,                 1.0523,                0.68164,                0.71964,                 0.0913,                0.10221,                0.05119,                 2.1045,                 2.7593,                0.90678,              0.0010951,              0.0010951,              0.0010951
                     54,                 1.5116,                 1.0312,                 0.6841,                0.85188,                0.09297,                 0.1057,                0.05521,                 2.0804,                 3.0574,                 0.8754,              0.0010841,              0.0010841,              0.0010841
                     55,                 1.5529,                 1.0559,                0.69021,                 0.9176,                0.08815,                0.13138,                0.07743,                  1.968,                 3.1296,                0.83437,              0.0010731,              0.0010731,              0.0010731
                     56,                 1.4827,                 1.0368,                0.67707,                0.86076,                0.11304,                0.15922,                0.09005,                 2.0078,                 2.7584,                0.82229,              0.0010621,              0.0010621,              0.0010621
                     57,                 1.4692,                 1.0239,                0.67092,                0.77058,                0.15127,                 0.1676,                0.09503,                 1.9981,                 2.2843,                0.80544,              0.0010511,              0.0010511,              0.0010511
                     58,                 1.4526,                 1.0227,                0.67655,                0.76262,                0.15435,                0.17496,                0.09321,                 2.0789,                 2.1908,                0.82841,              0.0010401,              0.0010401,              0.0010401
                     59,                 1.4927,                 1.0196,                0.68608,                0.74192,                0.15435,                0.19153,                0.09874,                 2.0284,                 2.1857,                0.81811,              0.0010291,              0.0010291,              0.0010291
                     60,                 1.4438,                 1.0369,                0.67939,                0.77045,                 0.1413,                0.22161,                0.11236,                 2.0999,                 2.1722,                0.85268,              0.0010181,              0.0010181,              0.0010181
                     61,                  1.483,                0.98894,                0.67555,                0.77972,                0.21087,                0.31608,                0.14718,                 2.0405,                 1.7665,                0.85541,              0.0010071,              0.0010071,              0.0010071
                     62,                 1.4582,                0.98436,                0.67759,                0.71404,                0.28256,                0.33271,                0.14599,                 1.9459,                 1.8491,                0.81348,             0.00099613,             0.00099613,             0.00099613
                     63,                 1.4452,                0.99356,                0.67091,                0.49446,                0.27823,                0.31888,                0.13537,                 1.9532,                 1.7298,                0.80683,             0.00098513,             0.00098513,             0.00098513
                     64,                 1.4297,                0.94694,                0.67392,                0.65747,                0.28141,                 0.3606,                0.14364,                   1.95,                 1.6806,                0.81944,             0.00097413,             0.00097413,             0.00097413
                     65,                  1.458,                0.96066,                0.67005,                0.62873,                0.35827,                0.47597,                0.16156,                 1.9775,                 1.6676,                  0.817,             0.00096314,             0.00096314,             0.00096314
                     66,                 1.4542,                0.95824,                 0.6578,                0.65582,                 0.3712,                0.55411,                0.23743,                 1.9501,                 1.6707,                0.80837,             0.00095214,             0.00095214,             0.00095214
                     67,                 1.4609,                0.95664,                0.67174,                 0.6681,                0.31964,                0.55208,                0.23493,                 1.9443,                 1.7122,                0.80356,             0.00094114,             0.00094114,             0.00094114
                     68,                 1.4123,                0.93838,                0.66867,                0.62385,                 0.3403,                0.48532,                0.20309,                 1.9021,                 1.6456,                0.79742,             0.00093014,             0.00093014,             0.00093014
                     69,                 1.3582,                0.93821,                0.65779,                0.69953,                 0.3109,                 0.5172,                 0.2328,                 1.8509,                 1.6286,                0.78493,             0.00091915,             0.00091915,             0.00091915
                     70,                 1.3252,                0.89537,                0.65874,                0.56865,                 0.3114,                0.45893,                0.20509,                 1.8853,                 1.6759,                0.78454,             0.00090815,             0.00090815,             0.00090815
