fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.37209,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.3621,0.00905,0.0108,0.937,0.00051,2.51593,0.74584,7.03794,0.55192,1.33063,0.01399,0.66161,0.4383,0.0,0.09775,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.29463,0.01105,0.00975,0.91313,0.00044,3.17388,0.92268,8.10786,0.58542,1.49082,0.015,0.84043,0.4,0.0,0.09449,0.50682,0.0,0.0,0.0,0.50563,0.0,1.0,0.0,0.0
0.36269,0.00905,0.0108,0.937,0.00052,2.46276,0.74038,7.00103,0.54528,1.35406,0.01384,0.66161,0.44084,0.0,0.09747,0.49913,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.31996,0.01108,0.01,0.89288,0.00059,2.63712,0.89679,7.5,0.48329,1.4484,0.01497,0.7,0.37879,0.0,0.10158,0.52738,0.0,0.0,0.0,0.45559,0.0,1.0,0.0,0.0
0.33155,0.00844,0.01003,0.96158,0.00048,2.59786,0.74038,7.92518,0.56377,1.35406,0.01438,0.66161,0.41503,0.0,0.09562,0.52879,0.0,0.0,0.0,0.46665,0.0,0.99432,0.0,0.0
0.3609,0.00895,0.01,0.94821,0.00055,2.81057,0.86375,7.88396,0.54268,1.5,0.01503,0.72137,0.36653,0.0,0.10774,0.5,0.0,0.0,0.0,0.48375,0.0,1.0,0.0,0.0
0.37104,0.00905,0.0108,0.93836,0.00052,2.56022,0.74584,7.1475,0.56983,1.33437,0.01398,0.67946,0.4383,0.0,0.09656,0.49596,0.0,0.0,0.0,0.49163,0.0,1.0,0.0,0.0
0.3673,0.00905,0.01075,0.93599,0.00051,2.47572,0.74584,7.00043,0.55192,1.35832,0.01397,0.66161,0.43182,0.0,0.09709,0.5,0.0,0.0,0.0,0.50001,0.0,0.99199,0.0,0.0
0.32791,0.00766,0.0109,0.92278,0.0005,2.71966,0.73693,7.5,0.5,1.54359,0.01608,0.7,0.33605,0.0,0.09071,0.41261,0.0,0.0,0.0,0.56324,0.0,1.0,0.0,0.0
0.35129,0.01036,0.0101,0.937,0.00054,2.75154,0.75536,7.2631,0.5,1.5,0.0162,0.7,0.39693,0.0,0.11179,0.52148,0.0,0.0,0.0,0.48275,0.0,1.0,0.0,0.0
0.3444,0.00995,0.01011,0.937,0.0005,3.00106,0.7879,7.57526,0.49165,1.55666,0.015,0.6961,0.40252,0.0,0.10216,0.50187,0.0,0.0,0.0,0.49974,0.0,0.99231,0.0,0.0
0.34654,0.00909,0.01085,0.93803,0.00052,2.56022,0.74991,7.15269,0.56983,1.33504,0.014,0.67795,0.43826,0.0,0.0973,0.49569,0.0,0.0,0.0,0.48921,0.0,0.99951,0.0,0.0
0.31738,0.01024,0.00935,0.93644,0.0005,4.05227,0.95,7.5,0.5,1.46536,0.01663,0.7,0.37261,0.0,0.1,0.44039,0.0,0.0,0.0,0.50949,0.0,1.0,0.0,0.0
0.3224,0.00839,0.01075,0.95488,0.00055,2.37001,0.81647,7.86656,0.55192,1.44178,0.01397,0.36489,0.48492,0.0,0.11658,0.54693,0.0,0.0,0.0,0.50001,0.0,1.0,0.0,0.0
0.33151,0.00726,0.01127,0.9672,0.00043,2.23261,0.61559,7.1475,0.61991,1.33437,0.01579,0.69293,0.51576,0.0,0.09656,0.49596,0.0,0.0,0.0,0.46525,0.0,0.95161,0.0,0.0
0.3556,0.0097,0.01157,0.937,0.00045,3.1727,0.90727,8.4441,0.4959,1.12555,0.0162,0.62086,0.46693,0.0,0.11485,0.43975,0.0,0.0,0.0,0.35703,0.0,1.0,0.0,0.0
