fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.12912,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.12142,0.01,0.01,0.937,0.00051,3.0,0.81285,8.11721,0.49343,1.44496,0.01442,0.71183,0.3991,0.0,0.10352,0.5,0.0,0.0,0.0,0.48513,0.0,1.0,0.0,0.0
0.08848,0.0113,0.01016,0.937,0.00041,2.8996,0.70482,6.79872,0.48697,1.5,0.01529,0.62516,0.40614,0.0,0.1195,0.51285,0.0,0.0,0.0,0.5,0.0,0.80454,0.0,0.0
0.19707,0.00919,0.01,0.95767,0.00044,3.3143,0.90134,5.73043,0.56902,1.79245,0.015,0.74543,0.44884,0.0,0.09798,0.47088,0.0,0.0,0.0,0.51313,0.0,1.0,0.0,0.0
0.146,0.00842,0.01206,0.98,0.00044,3.3143,0.90218,5.73043,0.49505,1.14816,0.015,0.74543,0.5312,0.0,0.06743,0.47738,0.0,0.0,0.0,0.41446,0.0,1.0,0.0,0.0
0.1723,0.00801,0.01026,0.88861,0.00057,3.20864,0.93192,8.11721,0.4446,1.21126,0.01442,0.71183,0.28642,0.0,0.11902,0.42577,0.0,0.0,0.0,0.57314,0.0,1.0,0.0,0.0
0.08974,0.01085,0.01,0.95767,0.00051,3.53455,0.81943,4.92127,0.43981,1.96956,0.015,0.74543,0.49177,0.0,0.08118,0.45338,0.0,0.0,0.0,0.51313,0.0,0.75589,0.0,0.0
0.17418,0.00935,0.01416,0.98,0.00046,2.98458,0.95,5.32737,0.64457,1.18136,0.01847,0.76553,0.61887,0.0,0.06743,0.61166,0.0,0.0,0.0,0.35543,0.0,1.0,0.0,0.0
0.14336,0.00801,0.01282,0.89539,0.00048,2.96011,0.83132,7.76827,0.43054,0.95501,0.01616,0.67383,0.28642,0.0,0.11902,0.36887,0.0,0.0,0.0,0.58587,0.0,1.0,0.0,0.0
0.16957,0.00801,0.01127,0.89843,0.00061,2.8917,0.95,7.21709,0.45,1.28743,0.01442,0.67627,0.28349,0.0,0.11271,0.41783,0.0,0.0,0.0,0.57662,0.0,1.0,0.0,0.0
0.14222,0.00801,0.01001,0.83385,0.0007,3.25747,0.95,7.48333,0.40527,1.25009,0.00997,0.71183,0.28642,0.0,0.13504,0.42577,0.0,0.0,0.0,0.61954,0.0,1.0,0.0,0.0
0.19903,0.00941,0.01026,0.96544,0.00045,3.30969,0.93843,5.66073,0.54325,1.83688,0.01497,0.75916,0.44884,0.0,0.09898,0.43842,0.0,0.0,0.0,0.52279,0.0,1.0,0.0,0.0
0.10679,0.0097,0.01336,0.92445,0.00046,3.03601,0.95,4.66686,0.72601,1.26075,0.02083,0.85957,0.61887,0.0,0.07329,0.71941,0.0,0.0,0.0,0.28456,0.0,0.92114,0.0,0.0
0.07247,0.00919,0.0099,0.95272,0.00044,3.31151,0.9068,5.71386,0.56585,1.78143,0.01494,0.74527,0.44884,0.0,0.09798,0.47488,0.0,0.0,0.0,0.51313,0.0,1.0,0.0,0.0
0.23022,0.00971,0.00871,0.96401,0.0005,2.9469,0.9073,4.06949,0.59538,1.83688,0.01331,0.70407,0.47118,0.0,0.05904,0.3141,0.0,0.0,0.0,0.54798,0.0,0.98766,0.0,0.0
0.15054,0.01119,0.00562,0.93278,0.0005,2.05518,0.84745,4.06949,0.51863,1.83279,0.01025,0.70292,0.46463,0.0,0.05253,0.36344,0.0,0.0,0.0,0.58446,0.0,1.0,0.0,0.0
0.20158,0.01012,0.00895,0.96401,0.00051,2.9469,0.89703,4.21789,0.63456,1.74106,0.01282,0.78872,0.44406,0.0,0.05904,0.31093,0.0,0.0,0.0,0.58908,0.0,0.85041,0.0,0.0
0.06567,0.00929,0.01022,0.96544,0.00045,3.31684,0.93695,5.57623,0.54325,1.84737,0.01492,0.759,0.44544,0.0,0.09824,0.43844,0.0,0.0,0.0,0.52251,0.0,1.0,0.0,0.0
0.15306,0.00875,0.01,0.95767,0.00047,3.3143,0.85804,5.73043,0.59033,1.79245,0.01509,0.74543,0.47606,0.0,0.10188,0.44695,0.0,0.0,0.0,0.4994,0.0,1.0,0.0,0.0
0.21201,0.00781,0.01014,0.96706,0.00045,2.9469,0.95,4.06949,0.59538,1.78839,0.01331,0.74207,0.48612,0.0,0.055,0.3141,0.0,0.0,0.0,0.58513,0.0,0.98766,0.0,0.0
0.18265,0.00866,0.00871,0.93988,0.00065,3.18079,0.79774,4.67731,0.63738,1.51264,0.01494,0.62045,0.4767,0.0,0.06272,0.28434,0.0,0.0,0.0,0.6073,0.0,1.0,0.0,0.0
0.17887,0.00948,0.00871,0.95454,0.00051,2.67599,0.95,3.45345,0.71908,2.0072,0.01231,0.70407,0.38218,0.0,0.06426,0.3141,0.0,0.0,0.0,0.52616,0.0,1.0,0.0,0.0
0.14894,0.01251,0.00955,0.96401,0.00049,2.9469,0.95,4.58165,0.68668,1.74106,0.01086,0.80552,0.50905,0.0,0.0634,0.3093,0.0,0.0,0.0,0.55604,0.0,0.85041,0.0,0.0
0.22816,0.00763,0.0081,0.88861,0.00045,2.90537,0.75495,4.48089,0.59808,1.6254,0.01405,0.66836,0.54795,0.0,0.05518,0.30072,0.0,0.0,0.0,0.63049,0.0,0.9682,0.0,0.0
0.15762,0.00766,0.0081,0.88816,0.00045,2.91181,0.75468,4.4728,0.59626,1.6254,0.01405,0.67257,0.54795,0.0,0.05541,0.30014,0.0,0.0,0.0,0.6295,0.0,0.9682,0.0,0.0
0.16063,0.01173,0.00871,0.95962,0.00046,1.70348,0.73593,5.19193,0.69944,1.52167,0.01535,0.70407,0.4794,0.0,0.03921,0.27615,0.0,0.0,0.0,0.54798,0.0,1.0,0.0,0.0
0.18142,0.00763,0.00852,0.899,0.00038,2.90537,0.89961,5.22442,0.52238,1.6254,0.01589,0.64115,0.54795,0.0,0.05279,0.33422,0.0,0.0,0.0,0.61152,0.0,0.99367,0.0,0.0
0.15434,0.00989,0.00871,0.93067,0.0005,2.65578,0.95,4.87139,0.54409,1.41077,0.01331,0.70407,0.55617,0.0,0.05884,0.26232,0.0,0.0,0.0,0.58479,0.0,0.70419,0.0,0.0
0.16231,0.01009,0.00804,0.96401,0.00047,2.9469,0.9073,3.86421,0.6049,1.88825,0.01327,0.70407,0.47118,0.0,0.05982,0.30799,0.0,0.0,0.0,0.54798,0.0,1.0,0.0,0.0
0.14977,0.00725,0.0081,0.89825,0.00046,2.92748,0.84258,4.73932,0.73613,1.79833,0.01474,0.62736,0.46101,0.0,0.05876,0.21764,0.0,0.0,0.0,0.63049,0.0,0.817,0.0,0.0
0.06046,0.00971,0.00869,0.951,0.0005,3.0893,0.89449,3.89536,0.59067,1.88358,0.01382,0.69385,0.43212,0.0,0.05758,0.31735,0.0,0.0,0.0,0.54798,0.0,1.0,0.0,0.0
0.14534,0.00988,0.00883,0.97709,0.0005,2.99334,0.91443,4.06949,0.60138,1.84993,0.01331,0.70823,0.47118,0.0,0.05909,0.3087,0.0,0.0,0.0,0.54859,0.0,0.96511,0.0,0.0
0.19105,0.01085,0.00977,0.98,0.00041,2.36433,0.95,4.28942,0.59538,1.91118,0.01177,0.80983,0.52466,0.0,0.07321,0.28084,0.0,0.0,0.0,0.5459,0.0,0.97415,0.0,0.0
0.15691,0.00912,0.00769,0.96401,0.00055,3.13167,0.84996,4.06949,0.47638,2.24544,0.01486,0.59329,0.67537,0.0,0.08234,0.33585,0.0,0.0,0.0,0.54798,0.0,0.98766,0.0,0.0
