fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.28587,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.24672,0.01011,0.01015,0.93748,0.00051,3.0759,0.8,7.42829,0.5006,1.50702,0.01472,0.68682,0.39521,0.0,0.1009,0.5029,0.0,0.0,0.0,0.50379,0.0,1.0,0.0,0.0
0.25131,0.01014,0.01,0.93764,0.00048,3.20011,0.63967,7.5,0.58937,1.5,0.01505,0.86719,0.43258,0.0,0.12564,0.49113,0.0,0.0,0.0,0.47289,0.0,1.0,0.0,0.0
0.30953,0.01011,0.01,0.93916,0.0005,3.02251,0.8,7.51302,0.49938,1.49851,0.01524,0.69523,0.4,0.0,0.09992,0.50052,0.0,0.0,0.0,0.5,0.0,0.99614,0.0,0.0
0.33614,0.00875,0.00897,0.90583,0.0005,3.07541,0.83823,8.88899,0.40417,1.82884,0.01419,0.63176,0.44164,0.0,0.09217,0.5145,0.0,0.0,0.0,0.54002,0.0,0.89854,0.0,0.0
0.01017,0.01011,0.00943,0.94421,0.00051,3.0454,0.8,7.26067,0.49938,1.50494,0.01546,0.70711,0.42891,0.0,0.10414,0.52351,0.0,0.0,0.0,0.50026,0.0,1.0,0.0,0.0
0.28614,0.00875,0.00918,0.91112,0.0005,3.03153,0.81624,8.7843,0.405,1.82138,0.01429,0.6222,0.44515,0.0,0.09278,0.50471,0.0,0.0,0.0,0.54032,0.0,0.89854,0.0,0.0
0.33119,0.01,0.01022,0.9423,0.00048,3.02251,0.8,7.62848,0.49528,1.45041,0.01524,0.69842,0.39755,0.0,0.10054,0.50835,0.0,0.0,0.0,0.5,0.0,0.97971,0.0,0.0
0.4105,0.00857,0.00845,0.93019,0.00048,3.1704,0.85802,8.80137,0.38594,1.82154,0.01464,0.6585,0.43314,0.0,0.09217,0.49146,0.0,0.0,0.0,0.55512,0.0,0.97195,0.0,0.0
0.27202,0.00852,0.00845,0.91385,0.0005,3.26973,0.85802,8.84849,0.38594,1.66641,0.0137,0.6585,0.43774,0.0,0.09022,0.49146,0.0,0.0,0.0,0.5151,0.0,0.96186,0.0,0.0
