fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.34277,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.40215,0.00867,0.00907,0.937,0.00046,3.0,0.71991,7.5,0.53793,1.24762,0.01429,0.64393,0.45774,0.0,0.1138,0.36121,0.0,0.0,0.0,0.45182,0.0,1.0,0.0,0.0
0.44563,0.00894,0.00903,0.89357,0.00046,3.18421,0.65465,7.78016,0.53793,1.29661,0.0151,0.63044,0.45774,0.0,0.1138,0.36011,0.0,0.0,0.0,0.40868,0.0,1.0,0.0,0.0
0.26687,0.0089,0.00892,0.89432,0.00046,3.18421,0.64927,7.79428,0.53242,1.29661,0.01496,0.62625,0.45054,0.0,0.11466,0.35731,0.0,0.0,0.0,0.40393,0.0,1.0,0.0,0.0
0.44522,0.01065,0.00907,0.88816,0.00041,3.17742,0.81929,6.84826,0.53944,1.31828,0.01205,0.6143,0.42717,0.0,0.08741,0.36213,0.0,0.0,0.0,0.35852,0.0,1.0,0.0,0.0
0.33873,0.00937,0.00907,0.93889,0.00046,2.57007,0.66579,7.58784,0.56879,1.29057,0.01429,0.60946,0.42916,0.0,0.1138,0.41185,0.0,0.0,0.0,0.42021,0.0,1.0,0.0,0.0
0.27577,0.01065,0.00818,0.89411,0.00041,3.17742,0.909,7.73807,0.62652,1.27079,0.01396,0.51487,0.42717,0.0,0.08448,0.36213,0.0,0.0,0.0,0.34162,0.0,1.0,0.0,0.0
0.3101,0.01065,0.00907,0.9343,0.0004,2.73048,0.95,6.84826,0.53944,1.13223,0.01082,0.76918,0.5628,0.0,0.08599,0.32709,0.0,0.0,0.0,0.31878,0.0,0.96824,0.0,0.0
0.11219,0.00941,0.00907,0.94419,0.00039,3.86239,0.95,7.39164,0.56485,1.31828,0.01333,0.67974,0.46252,0.0,0.0951,0.36213,0.0,0.0,0.0,0.36955,0.0,1.0,0.0,0.0
0.29627,0.0084,0.00907,0.97846,0.00046,2.44867,0.7714,6.51773,0.57288,1.24762,0.01379,0.71251,0.39661,0.0,0.13175,0.32239,0.0,0.0,0.0,0.45182,0.0,1.0,0.0,0.0
0.14585,0.0089,0.00693,0.92605,0.00046,2.21854,0.6329,7.72921,0.50957,1.39148,0.01357,0.66988,0.45774,0.0,0.1138,0.35386,0.0,0.0,0.0,0.51506,0.0,0.85426,0.0,0.0
0.32898,0.0077,0.00893,0.93193,0.00053,3.0,0.6665,7.52704,0.74102,1.64735,0.01429,0.5367,0.53846,0.0,0.12408,0.37304,0.0,0.0,0.0,0.37026,0.0,1.0,0.0,0.0
0.41344,0.01055,0.00916,0.89156,0.00041,3.19652,0.81672,6.84997,0.53944,1.30416,0.01156,0.59148,0.42396,0.0,0.08741,0.35985,0.0,0.0,0.0,0.3597,0.0,0.98309,0.0,0.0
0.44501,0.00891,0.00902,0.89475,0.00046,3.18421,0.65271,7.78016,0.53728,1.30015,0.01521,0.62762,0.45766,0.0,0.11372,0.36184,0.0,0.0,0.0,0.40652,0.0,0.99684,0.0,0.0
0.42215,0.00872,0.00902,0.90799,0.00045,3.07979,0.60746,7.6936,0.53793,1.29315,0.0151,0.66797,0.48623,0.0,0.11784,0.36043,0.0,0.0,0.0,0.40564,0.0,0.97836,0.0,0.0
0.19422,0.01091,0.00907,0.88674,0.00041,3.18689,0.81929,6.84826,0.53516,1.26865,0.01205,0.58929,0.42561,0.0,0.08647,0.3639,0.0,0.0,0.0,0.35852,0.0,1.0,0.0,0.0
0.41397,0.01093,0.00891,0.87046,0.00041,3.235,0.85471,6.84826,0.53944,1.31266,0.01255,0.5659,0.45279,0.0,0.08748,0.37109,0.0,0.0,0.0,0.35852,0.0,1.0,0.0,0.0
0.0,0.00921,0.00897,0.89475,0.00046,3.18421,0.65271,7.83822,0.51978,1.30015,0.01521,0.61967,0.46547,0.0,0.11781,0.3477,0.0,0.0,0.0,0.41749,0.0,0.9826,0.0,0.0
0.32608,0.01125,0.00898,0.88498,0.00041,3.17742,0.80128,6.70664,0.53944,1.28558,0.01183,0.61238,0.42313,0.0,0.09356,0.36213,0.0,0.0,0.0,0.34582,0.0,1.0,0.0,0.0
0.50278,0.0105,0.0093,0.86952,0.0004,3.32949,0.80117,6.84826,0.53944,1.24731,0.01205,0.6143,0.41146,0.0,0.08594,0.36538,0.0,0.0,0.0,0.35436,0.0,0.99211,0.0,0.0
