fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.26554,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.32001,0.01,0.01008,0.94314,0.0005,2.97132,0.80105,7.48651,0.5072,1.49959,0.01488,0.69199,0.39846,0.0,0.09977,0.5,0.0,0.0,0.0,0.50835,0.0,1.0,0.0,0.0
0.28045,0.00998,0.01011,0.94391,0.0005,2.9642,0.80229,7.47224,0.50718,1.494,0.01483,0.69365,0.3975,0.0,0.09974,0.49821,0.0,0.0,0.0,0.50835,0.0,1.0,0.0,0.0
0.23646,0.0105,0.01211,0.96057,0.0005,2.97132,0.67713,6.01958,0.53473,1.49959,0.01737,0.60285,0.39846,0.0,0.1188,0.48819,0.0,0.0,0.0,0.59327,0.0,0.96414,0.0,0.0
0.25093,0.00698,0.00903,0.94391,0.00038,3.65485,0.95,9.11359,0.59913,1.12242,0.01917,0.77583,0.40347,0.0,0.12415,0.63389,0.0,0.0,0.0,0.50835,0.0,0.8823,0.0,0.0
0.33638,0.01008,0.00967,0.94314,0.00049,3.23493,0.80105,7.52509,0.53612,1.49959,0.01488,0.73083,0.41007,0.0,0.10832,0.5,0.0,0.0,0.0,0.50835,0.0,0.95403,0.0,0.0
0.23852,0.01179,0.01008,0.94314,0.00039,2.97132,0.69259,6.13295,0.36129,1.50456,0.01355,0.73684,0.39727,0.0,0.10653,0.4086,0.0,0.0,0.0,0.50835,0.0,0.94192,0.0,0.0
0.25976,0.00749,0.0095,0.94549,0.00045,3.23493,0.94329,7.59769,0.46343,1.75123,0.01612,0.57859,0.48835,0.0,0.0872,0.44277,0.0,0.0,0.0,0.43273,0.0,0.95403,0.0,0.0
0.31172,0.01179,0.01008,0.94314,0.0004,2.96122,0.75941,7.08112,0.5072,1.49959,0.01661,0.67554,0.33319,0.0,0.10808,0.45964,0.0,0.0,0.0,0.54281,0.0,1.0,0.0,0.0
0.24434,0.00992,0.00729,0.94314,0.00049,3.37503,0.72303,8.22211,0.469,1.46649,0.01353,0.70209,0.41218,0.0,0.1047,0.48301,0.0,0.0,0.0,0.55511,0.0,0.95403,0.0,0.0
0.30334,0.01023,0.00967,0.93382,0.00049,3.18309,0.83544,7.76187,0.54846,1.53391,0.0148,0.74981,0.38618,0.0,0.11664,0.51601,0.0,0.0,0.0,0.50835,0.0,1.0,0.0,0.0
0.25158,0.00963,0.00967,0.90295,0.00049,3.49703,0.93745,7.40793,0.53612,1.33241,0.01344,0.73083,0.44042,0.0,0.10832,0.46161,0.0,0.0,0.0,0.49313,0.0,1.0,0.0,0.0
0.28421,0.00895,0.00967,0.93382,0.00037,2.67228,0.90025,6.55751,0.67697,2.07141,0.01561,0.82938,0.45097,0.0,0.12122,0.51601,0.0,0.0,0.0,0.48802,0.0,1.0,0.0,0.0
0.1202,0.01147,0.01117,0.98,0.00046,2.96122,0.9133,6.24159,0.46841,1.3946,0.01602,0.68718,0.33319,0.0,0.10808,0.42775,0.0,0.0,0.0,0.54281,0.0,0.98106,0.0,0.0
0.24885,0.01008,0.00967,0.94314,0.00048,3.50892,0.80105,7.35101,0.55144,1.41023,0.01488,0.70963,0.4225,0.0,0.10525,0.53326,0.0,0.0,0.0,0.49579,0.0,0.99594,0.0,0.0
0.32214,0.01008,0.01071,0.9013,0.00051,3.33582,0.44659,7.04154,0.61825,1.66074,0.01712,0.72998,0.40701,0.0,0.1176,0.5,0.0,0.0,0.0,0.51462,0.0,0.95403,0.0,0.0
0.34974,0.00827,0.00929,0.92458,0.00045,2.96203,0.90607,7.48291,0.64317,1.49959,0.01548,0.62506,0.43835,0.0,0.10211,0.44866,0.0,0.0,0.0,0.50835,0.0,1.0,0.0,0.0
0.28293,0.01006,0.0097,0.94314,0.00048,3.20493,0.80105,7.56459,0.53381,1.47891,0.01487,0.72507,0.4036,0.0,0.10927,0.50023,0.0,0.0,0.0,0.51003,0.0,0.94637,0.0,0.0
